,SNo,Date,StartupName,IndustryVertical,SubVertical,City,InvestorsName,InvestmentType,AmountInUSD,Remarks,year,month,yearmonth,CleanedInvestmentType,CleanedAmount
523,525,23/10/2017,Park Easy,Consumer Internet,Machine learning based parking discovery,Kolkata,Rockstart Accelerator,Seed Funding,"118,000",nan,2017,10,201710,Other,118000.0
524,526,24/10/2017,TagBox,Technology,Cold Chain monitoring solution,Bangalore,"Indian Angel network, IAN Fund",Seed Funding,nan,nan,2017,10,201710,Other,
525,527,24/10/2017,FYRE,Food & Beverage,Herbal energy shot maker,Mumbai,Venture Catalysts,Seed Funding,"500,000",nan,2017,10,201710,Other,500000.0
526,528,24/10/2017,ZipLoan,Consumer Internet,SME lending platform,New Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,"3,000,000",nan,2017,10,201710,Other,3000000.0
527,529,24/10/2017,Skillenza,Consumer Internet,Online Learning Platform,Bangalore,"Blume Ventures, Indian Angel Network",Seed Funding,"722,000",nan,2017,10,201710,Other,722000.0
528,530,24/10/2017,Chevon,Food & Beverage,Frozen Meat provider,Mumbai,Greenfield Advisory,Private Equity,nan,nan,2017,10,201710,Other,
529,531,25/10/2017,PropStory,Consumer Internet,Real Estate content portal,Gurgaon,"Abhishek Bhatewara, Vivek Shah, Haitong Securities, Suraj Saharan, Paras Arora",Seed Funding,nan,nan,2017,10,201710,Other,
530,532,25/10/2017,SpotDraft,Consumer Internet,Contract Automation,Gurgaon,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Funding,"550,000",nan,2017,10,201710,Other,550000.0
531,533,26/10/2017,Big Basket,E-Commerce,Online Grocery portal,Bangalore,Helion Ventures Partners,Private Equity,"5,000,000",nan,2017,10,201710,Other,5000000.0
532,534,27/10/2017,OfBusiness,Technology,B2B Finance & Fulfilment Network,Gurgaon,Kotak Mahindra Bank,Debt Funding,"3,800,000",nan,2017,10,201710,Other,3800000.0
533,535,27/10/2017,Olly Credit,Technology,Credit + payment mobile app,New Delhi,"Incubate Fund, Sandesh Kirkire, Anand Kumar, Yogesh Chaudhary",Seed Funding,nan,nan,2017,10,201710,Other,
534,536,28/10/2017,CashFree,Technology,Payments Platform for Marketplaces and Fintechs,New Delhi,Y Combinator,Seed Funding,"120,000",nan,2017,10,201710,Other,120000.0
535,537,28/10/2017,Ola Cabs,Consumer Internet,App based cab hailing services,Bangalore,ANI Technologies Pvt. Ltd,Private Equity,"7,700,000",nan,2017,10,201710,Other,7700000.0
536,538,30/10/2017,GoldFarm,Food & Beverage,Agriculture Technology,Coimbatore,Mahindra & Mahindra and Infuse Ventures,Private Equity,"2,000,000",nan,2017,10,201710,Other,2000000.0
537,539,31/10/2017,NetMeds,E-Commerce,Online Pharmacy,Chennai,TannCam Investment & Sistema Asia Fund,Private Equity,"14,000,000",nan,2017,10,201710,Other,14000000.0
538,540,31/10/2017,MSE,Finance,Equity Stock Exchange,Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Private Equity,"32,000,000",nan,2017,10,201710,Other,32000000.0
539,541,01/09/2017,Aahaa Stores,eCommece,Online B2B store for office supplies,Chennai,YourNest Angel Fund,Private Equity,"1,000,000",nan,2017,9,201709,Other,1000000.0
540,542,01/09/2017,MFine,Consumer Internet,Online Doctor Discovery platform,Bangalore,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA",Private Equity,"1,500,000",nan,2017,9,201709,Other,1500000.0
541,543,01/09/2017,Canvera,Consumer Internet,Online Photography platform,Mumbai,InfoEdge,Private Equity,"1,300,000",nan,2017,9,201709,Other,1300000.0
542,544,04/09/2017,PrimaryIO,Technology,Application Performance Acceleration,Pune,"Accel Partners, Exfinity Ventures, Partech Ventures",Private Equity,"5,600,000",nan,2017,9,201709,Other,5600000.0
543,545,05/09/2017,Shubh Loans,Consumer Internet,online lending platform,Bangalore,"SRI Capital, BeeNext, Pravega Ventures",Private Equity,"1,500,000",nan,2017,9,201709,Other,1500000.0
544,546,05/09/2017,Nest Education,Technology,EduTech Platform,Gurgaon,"Michael and Susan Dell Foundation, Anand Mahindra",Seed Funding,"600,000",nan,2017,9,201709,Other,600000.0
545,547,06/09/2017,Lending Kart,Consumer Internet,Online Lending Platform,Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,"10,750,000",nan,2017,9,201709,Other,10750000.0
546,548,06/09/2017,GoFro,Consumer Internet,Online travel booking platform,New Delhi,"HIS Co. Ltd, MakeMyTrip",Private Equity,"10,000,000",nan,2017,9,201709,Other,10000000.0
547,549,06/09/2017,OncoStem,Healthcare,Medical Diagnostic Solutions,Bangalore,"Sequoia Capital India, Artiman Ventures",Private Equity,"6,000,000",nan,2017,9,201709,Other,6000000.0
548,550,06/09/2017,Power2SME,E-Commerce,Buying Club for Small Businesses,Gurgaon,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,",Private Equity,"26,000,000",nan,2017,9,201709,Other,26000000.0
549,551,07/09/2017,Credit Vidya,Consumer Internet,Online Credit scoring platform,Mumbai,Matrix Partners,Private Equity,"5,000,000",nan,2017,9,201709,Other,5000000.0
550,552,07/09/2017,Tails Life,Consumer Internet,Pet care portal & mobile app,Bangalore,V Balakrishnan.,Private Equity,nan,nan,2017,9,201709,Other,
551,553,07/09/2017,OYO Rooms,Consumer Internet,Branded budget hotels marketplace,Gurgaon,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private Equity,"25,000,0000",nan,2017,9,201709,Other,250000000.0
552,554,07/09/2017,Early Salary,Consumer Internet,Online Unsecured Lending platform,Pune,IFMR Capital,Debt Funding,"780,000",nan,2017,9,201709,Other,780000.0
553,555,07/09/2017,MamaEarth,E-Commerce,online babycare products marketplace,Gurgaon,Fireside Ventures,Seed Funding,nan,nan,2017,9,201709,Other,
554,556,07/09/2017,Seniority,E-Commerce,Ecommerce portal for senior citizens,Pune,RPG Enterprises,Private Equity,"1,000,000",nan,2017,9,201709,Other,1000000.0
555,557,08/09/2017,AYE Finance,Consumer Internet,Micro Lending Platform,New Delhi,"Triodos Investment Management,",Debt Funding,"6,900,000",nan,2017,9,201709,Other,6900000.0
556,558,08/09/2017,Farmizen,Technology,Agre-Tech Mobile app,Bangalore,"Venture Highway, Alok Mittal, Mohit Agarwal, Anuj Gupta,",Seed Funding,nan,nan,2017,9,201709,Other,
557,559,11/09/2017,Ecom Express,Logistics,Logistics Solutions provider,New Delhi,Warburg Pincus,Private Equity,"30,000,000",nan,2017,9,201709,Other,30000000.0
558,560,11/09/2017,Call Health,Consumer Internet,Healthcare Services Aggregator,Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",Private Equity,"6,200,000",nan,2017,9,201709,Other,6200000.0
559,561,12/09/2017,Sattviko,E-Commerce,Health Food etailer,New Delhi,"Raman Roy, Arvind Uppal, Sonu Bhasin, G Ravishankar",Seed Funding,nan,nan,2017,9,201709,Other,
560,562,12/09/2017,3HCare,Consumer Internet,Healthcare services portal,New Delhi,Undisclosed Investor,Seed Funding,"100,000",nan,2017,9,201709,Other,100000.0
561,563,12/09/2017,Tonbo Imaging,Technology,Imaging Technology for Armed Forces,Bangalore,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,"17,000,000",nan,2017,9,201709,Other,17000000.0
562,564,12/09/2017,Get My Parking,Consumer Internet,Smart Parking Enabler,New Delhi,"IAN Fund, Beenext, Indian Angel Network",Private Equity,"3,000,000",nan,2017,9,201709,Other,3000000.0
563,565,13/09/2017,WittyFeed,Technology,Content marketing platform,Indore,"Anand Chandrasekaran, Apurva Chamaria, Ritesh Malik, Ashish Toshniwal, Ajeet Khurana",Seed Funding,nan,nan,2017,9,201709,Other,
564,566,13/09/2017,Glowroad,Consumer Internet,women focussed customer-to-customer reseller network,Bangalore,"Accel Partners,",Private Equity,"2,000,000",nan,2017,9,201709,Other,2000000.0
565,567,13/09/2017,OYO Rooms,Consumer Internet,udget hotel marketplace,Gurgaon,China Lodging Group,Private Equity,"10,000,000",nan,2017,9,201709,Other,10000000.0
566,568,13/09/2017,Unacademy,Consumer Internet,Online learning platform,Mumbai,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,",Private Equity,"11,500,000",nan,2017,9,201709,Other,11500000.0
567,569,13/09/2017,Heterogenous,Technology,Telecom & IoT platform,Chennai,"Chennai Angels, Keiretsu Forum & Others",Seed Funding,"780,000",nan,2017,9,201709,Other,780000.0
568,570,14/09/2017,Gurukul,Consumer Internet,co-working space provider,New Delhi,"Rohit Nanda, Rajit Nanda, Smarak Bhuyan, Sashwat Brahma,",Seed Funding,nan,nan,2017,9,201709,Other,
569,571,14/09/2017,Smaaash,Technology,Virtual Reality gaming and entertainment platform,Mumbai,ECL Finance,Private Equity,"44,000,000",nan,2017,9,201709,Other,44000000.0
570,572,14/09/2017,WheelStreet,Consumer Portal,Bike Rental Platform,Bangalore,Y Combinator,Seed Funding,"120,000",nan,2017,9,201709,Other,120000.0
571,573,14/09/2017,Xprep,Consumer Internet,Online Tutoring Platform,New Delhi,"Rising Stars, Manish Amin, Pallav Pandey, Chavi Jafa",Private Equity,nan,nan,2017,9,201709,Other,
572,574,18/09/2017,The Moms Co,E-Commerce,Pregnancy & Baby Care product etailer,Gurgaon,"DSG Consumer Partners, Saama Capital",Private Equity,"1,000,000",nan,2017,9,201709,Other,1000000.0
573,575,19/09/2017,Noticeboard,Technology,"mobile-first communication platform for on-field staff,",Bangalore,"Shamik Sharma, Aprameya Radhakrishna",Seed Funding,nan,nan,2017,9,201709,Other,
574,576,19/09/2017,High Radius,Technology,Integrated receivables software solutions,Hyderabad,Susquehanna Growth Equity LLC,Private Equity,"50,000,000",nan,2017,9,201709,Other,50000000.0
575,577,20/09/2017,HWell24 Plus,Healthcare,Technology-Empowered Healthcare Solutions,Mumbai,Undisclosed Investors,Seed Funding,nan,nan,2017,9,201709,Other,
576,578,21/09/2017,SaveBC,Finance,financial services firm,Gaya,Incofin Investment Management.,Private Equity,"6,000,000",nan,2017,9,201709,Other,6000000.0
577,579,21/09/2017,Gaming Monk,Consumer Internet,E-sports platform,New Delhi,AdvantEdge,Private Equity,nan,nan,2017,9,201709,Other,
578,580,21/09/2017,91SpringBoard,Consumer Internet,Co-working spaces,New Delhi,"Sandway Investment Ltd, Pearl Brook Holdings, Silo Holdings and Al Nour",Private Equity,nan,nan,2017,9,201709,Other,
579,581,21/09/2017,Homergize,E-Commerce,Home Furnishing & Building material marketplace,Bangalore,LG Chandrasekhar,Private Equity,"1,000,000",nan,2017,9,201709,Other,1000000.0
580,582,22/09/2017,Yatra.com,E-Commerce,Online Travel Agency,Gurgaon,InnoVen Capital India,Debt Funding,"15,400,000",nan,2017,9,201709,Other,15400000.0
581,583,22/09/2017,Ace Turtle,Technology,Omni-channel web commerce solutions provider,Bangalore,InnoVen Capital,Private Equity,nan,nan,2017,9,201709,Other,
582,584,25/09/2017,Vogo,Consumer Internet,Scooter Rental Platform,Bangalore,AV Thomas Group,Seed Funding,nan,nan,2017,9,201709,Other,
583,585,25/09/2017,Synup,Technology,SME Marketing Management Solution,Bangalore,"Vertex Ventures, Prime Venture Partners.",Private Equity,"6,000,000",nan,2017,9,201709,Other,6000000.0
584,586,25/09/2017,Tinmen,Consumer Internet,Food Delivery platform,Hyderabad,Zomato Media Pvt. Ltd,Private Equity,nan,nan,2017,9,201709,Other,
585,587,25/09/2017,Cropin,Technology,Crop Technology Solutions,Bangalore,Beenext,Private Equity,nan,nan,2017,9,201709,Other,
586,588,25/09/2017,Rapido,Consumer Internet,Bike Aggregator Mobile App,Bangalore,Battery Road Digital Holdings LLC,Seed Funding,"422,000",nan,2017,9,201709,Other,422000.0
587,589,25/09/2017,Sportobuddy,Consumer Internet,Sports & Sport related equipment portal,Mumbai,Mehul Shah,Seed Funding,"150,000",nan,2017,9,201709,Other,150000.0
588,590,26/09/2017,Credifiable,Consumer Internet,Online consumer lending platform,Bangalore,Kae Capital,Private Equity,nan,nan,2017,9,201709,Other,
589,591,26/09/2017,Inclov,Consumer Internet,Matchmaking app for the differently abled,Gurgaon,"Rajan Anandan, Jamil Khatri, Ravi Iyer, Raghav Bahl",Seed Funding,nan,nan,2017,9,201709,Other,
590,592,26/09/2017,Multibhashi,Consumer Internet,Language learning Mobile App,Bangalore,"Aniruddha Malpani, Startup Oasis",Seed Funding,nan,nan,2017,9,201709,Other,
591,593,27/09/2017,Transerve,Technology,Geospatial Technology-based SaaS solutions,Mumbai,"IL&FS Investment Managers, Omidyar Network.",Private Equity,"1,600,000",nan,2017,9,201709,Other,1600000.0
592,594,27/09/2017,Fashalot,Consumer Internet,O2O fashion discovery platform,Gurgaon,"Capillary Technologies, Whiteboard Capital, YourNest Angel Fund, Rajul Garg",Private Equity,nan,nan,2017,9,201709,Other,
593,595,27/09/2017,Pitstop,Consumer Internet,Car repair and Servicing Platform,Bangalore,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Private Equity,"1,000,000",nan,2017,9,201709,Other,1000000.0
594,596,27/09/2017,GoChoppers,Consumer Internet,Luxury Helicopter Tourism Services portal,Gurgaon,"Rivergate Capital,",Seed Funding,nan,nan,2017,9,201709,Other,
595,597,27/09/2017,MyUpchar,Consumer Internet,Local Language Health Information portal,New Delhi,LetsVenture,Seed Funding,"300,000",nan,2017,9,201709,Other,300000.0
596,598,28/09/2017,Aadyah,Technology,Defense Tech & Aerospace startup,Bangalore,Keiretsu Forum,Private Equity,"1,000,000",nan,2017,9,201709,Other,1000000.0
597,599,01/08/2017,TouchKin,Technology,Predictive Care Platform,Bangalore,Kae Capital,Private Equity,"1,300,000",nan,2017,8,201708,Other,1300000.0
598,600,02/08/2017,Ethinos,Technology,Digital Marketing Agency,Mumbai,Triton Investment Advisors,Private Equity,nan,nan,2017,8,201708,Other,
599,601,02/08/2017,Leverage Edu,Consumer Internet,Online platform for Higher Education Services,New Delhi,"Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose",Seed Funding,nan,nan,2017,8,201708,Other,
600,602,02/08/2017,Zepo,Consumer Internet,DIY Ecommerce platform,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Funding,"500,000",nan,2017,8,201708,Other,500000.0
601,603,02/08/2017,Click2Clinic,Consumer Internet,healthcare service aggregator,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed Funding,"850,000",nan,2017,8,201708,Other,850000.0
602,604,03/08/2017,SpeedBox,Logistics,On-Demand Logistics Service provider,Mumbai,Cismat Cargo Services Pvt. Ltd.,Seed Funding,"300,000",nan,2017,8,201708,Other,300000.0
603,605,03/08/2017,Skill Connect,Consumer Internet,Recruitment Portal,Jaipur,Rajasthan Angel Investor Network,Seed Funding,nan,nan,2017,8,201708,Other,
604,606,03/08/2017,Chai Point,Consumer Internet,Tea Delivery Portal & offline stores,Bangalore,"DSG Consumer Partners, Eight Roads Ventures India",Private Equity,nan,nan,2017,8,201708,Other,
605,607,03/08/2017,Zoctr,Consumer Internet,Health Products & Services Aggregator,Mumbai,SIDBI,Private Equity,nan,nan,2017,8,201708,Other,
606,608,04/08/2017,Lime Tray,Technology,Restaurant Management Solutions,New Delhi,JSW Ventures,Private Equity,nan,nan,2017,8,201708,Other,
607,609,04/08/2017,CoutLoot,E-Commerce,Fashion Resale Marketplace,Mumbai,"Anuj Puri, Redcliffe Capital, Artha India Ventures, Siddharth Kothari, Apoorv Ranjan Sharma,",Seed Funding,nan,nan,2017,8,201708,Other,
608,610,04/08/2017,Box My Space,Logistics,Warehouse Aggregator,Mumbai,"R. Jayakumar, Vaibhav Vohra, Aditya Vazirani, Rhea Vazirani, AVN Business Solutions, Dreamweaver Investments",Seed Funding,nan,nan,2017,8,201708,Other,
609,611,05/08/2017,Curatio,Healthcare,Skincare Speciality services,Chennai,Anicut Capital,Private Equity,nan,nan,2017,8,201708,Other,
610,612,08/08/2017,New Castle Technologies,Technology,Hospital Management Software,Chennai,Undisclosed investors,Seed Funding,"243,000",nan,2017,8,201708,Other,243000.0
611,613,08/08/2017,My Forex Eye,Consumer Internet,foreign exchange services,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Seed Funding,"220,000",nan,2017,8,201708,Other,220000.0
612,614,09/08/2017,TruxApp,Logistics,Mobile based Logistics Service,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed Funding,"3,100,000",nan,2017,8,201708,Other,3100000.0
613,615,09/08/2017,CroFarm,Technology,Agriculture Supply Chain solutions,Gurgaon,Factor[e] Ventures,Seed Funding,"783,000",nan,2017,8,201708,Other,783000.0
614,616,09/08/2017,DoodhWala,Consumer Internet,Online milk delivery,Bangalore,Tom Varkey,Seed Funding,nan,nan,2017,8,201708,Other,
615,617,10/08/2017,Stayabode,Consumer Internet,Co-Living space aggregator,Bangalore,"Incubate Fund, Sanjay Shenoy, Mridul Upreti,",Private Equity,nan,nan,2017,8,201708,Other,
616,618,11/08/2017,Flipkart,E-Commerce,Online Marketplace,Bangalore,Softbank,Private Equity,"2,500,000,000",nan,2017,8,201708,Other,2500000000.0
617,619,11/08/2017,Moong Labs,Technology,Mobile games developer,New Delhi,Nazara Games,Private Equity,nan,nan,2017,8,201708,Other,
618,620,11/08/2017,Ola Cabs,Consumer Internet,App based cab aggregation Service,Gurgaon,Tekne Capital Management,Private Equity,"36,000,000",nan,2017,8,201708,Other,36000000.0
619,621,14/08/2017,Sports Flashes,Consumer Internet,Sports Content Mobile App,New Delhi,"Bennett, Coleman and Company Ltd (BCCL),",Private Equity,nan,nan,2017,8,201708,Other,
620,622,14/08/2017,Digilend,Technology,Personal Loans & EMI solutions platform,Mumbai,"InCred Finance, Fullerton India Credit Company Ltd",Seed Funding,"312,000",nan,2017,8,201708,Other,312000.0
621,623,15/08/2017,KNAB Finance,Consumer Internet,Unsecured Small Business Loans,Bangalore,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed Funding,"385,000",nan,2017,8,201708,Other,385000.0
622,624,17/08/2017,Get Simpl,Consumer Internet,Payment Solution Mobile app,Mumbai,"Green Visor Capital LP II, IA Venture Strategies Fund II LP, Boillot Family Trust, Russell M Byrne, The Oliver R. Grace, Jr. Millennium Trust, SF Capital Investments LP",Seed Funding,nan,nan,2017,8,201708,Other,
623,625,20/08/2017,Rootefy,E-Commerce,Building material online store,New Delhi,"Abhinav Gupta,",Seed Funding,"187,000",nan,2017,8,201708,Other,187000.0
624,626,21/08/2017,Uniphore,Technology,speech recognition startup,Chennai,IDG Ventures,Private Equity,"6,800,000",nan,2017,8,201708,Other,6800000.0
625,627,21/08/2017,Cerebroz,Consumer Internet,E-Tech platform,Vadodara,Undisclosed HNI\\xe2\\x80\\x99s,Seed Funding,"734,000",nan,2017,8,201708,Other,734000.0
626,628,22/08/2017,Flochat,Consumer Internet,instant messaging platform,Mumbai,"iSquare Global,",Seed Funding,nan,nan,2017,8,201708,Other,
627,629,22/08/2017,EasyGov,Consumer Internet,Govt service application portal,Noida,"Social Alpha, Rajan Anandan, Rajeev Ahuja, Kshitij Arora",Seed Funding,nan,nan,2017,8,201708,Other,
628,630,23/08/2017,Milk Basket,Consumer Internet,Online Grocery platform,Gurgaon,Blume Ventures. Lenovo Capital and Incubator Group (LCIG),Seed Funding,nan,nan,2017,8,201708,Other,
629,631,23/08/2017,Dhruva,Technology,Cloud data protection and management solutions,Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Private Equity,"80,000,000",nan,2017,8,201708,Other,80000000.0
630,632,23/08/2017,Bombay Shaving Company,E-Commerce,Men Grooming product etailer,New Delhi,Fireside Ventures,Private Equity,"2,300,000",nan,2017,8,201708,Other,2300000.0
631,633,23/08/2017,Awign,Technology,Operations and manpower outsourcing,Bangalore,"IIT Ropar, Imanpreet Singh Arora, Sidharth Rozario, Saurabh Abichandani, Shikhar Gupta,",Seed Funding,nan,nan,2017,8,201708,Other,
632,634,23/08/2017,Indiez,Technology,Software & Mobile app development platform,Bangalore,Haresh Chawla,Seed Funding,"500,000",nan,2017,8,201708,Other,500000.0
633,635,24/08/2017,Ezetap,Technology,mPOS solutions provider,Bangalore,"JS Capital Management, Social Capital, Horizons Ventures,",Private Equity,"16,000,000",nan,2017,8,201708,Other,16000000.0
634,636,25/08/2017,Ink Monk,Consumer Internet,Online printing marketplace,Chennai,"VAMM Ventures, Raksul, Dena",Seed Funding,"750,000",nan,2017,8,201708,Other,750000.0
635,637,25/08/2017,Medinfi,Consumer Internet,Online Doctor Discovery Platform,Bangalore,"PBS Srinivas, Vinod Martin,",Seed Funding,"125,000",nan,2017,8,201708,Other,125000.0
636,638,28/08/2017,Mobikon,Technology,Restaurant & Hotel CRM platform,Pune,"Sistema Asia Fund, C31 Ventures, Qualgro.",Private Equity,"7,000,000",nan,2017,8,201708,Other,7000000.0
637,639,29/08/2017,CureFit,Consumer Internet,End to End health and wellness platform.,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital, UC-RNT fund",Private Equity,"25,000,000",nan,2017,8,201708,Other,25000000.0
638,640,29/08/2017,Doxper,Technology,Healthtech IoT platform,Mumbai,"idal Health, growx ventures, Capier Investments, Globevestor & others",Seed Funding,"750,000",nan,2017,8,201708,Other,750000.0
639,641,29/08/2017,Fieldassist,Technology,SAAS based sales force automation services,Gurgaon,Small Industries Development Bank of India (SIDBI),Debt Funding,nan,nan,2017,8,201708,Other,
640,642,30/08/2017,Treebo,Consumer Internet,Budget Hotel Aggregator platform,Bangalore,"Ward Ferry Management and Karst Peak Capital,",Private Equity,"34,000,000",nan,2017,8,201708,Other,34000000.0
641,643,30/08/2017,MedGenome,Technology,Genomics Research and Diagnostics Solutions,Bangalore,"Sequoia India, Sofina s.a., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,",Private Equity,"30,000,000",nan,2017,8,201708,Other,30000000.0
642,644,01/07/2017,Billion Loans,Consumer Internet,Peer to Peer Lending platform,Bangalore,Reliance Corporate Advisory Services Ltd,Seed Funding,"1,000,000",nan,2017,7,201707,Other,1000000.0
643,645,03/07/2017,Ecolibriumenergy,Technology,Energy management solutions provider,Ahmedabad,"Infuse Ventures, JLL",Private Equity,"2,600,000",nan,2017,7,201707,Other,2600000.0
644,646,04/07/2017,Droom,E-Commerce,Online marketplace for automobiles,Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,"20,000,000",nan,2017,7,201707,Other,20000000.0
645,647,05/07/2017,Jumbotail,E-Commerce,online marketplace for food and grocery,Bangalore,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,"8,500,000",nan,2017,7,201707,Other,8500000.0
646,648,05/07/2017,Moglix,E-Commerce,B2B marketplace for Industrial products,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,"12,000,000",nan,2017,7,201707,Other,12000000.0
647,649,05/07/2017,Timesaverz,Consumer Internet,Hyperlocal home services provider,Mumbai,BCCL,Private Equity,"1,000,000",nan,2017,7,201707,Other,1000000.0
648,650,06/07/2017,Minjar,Technology,Cloud Solutions provider,Bangalore,"Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs",Seed Funding,nan,nan,2017,7,201707,Other,
649,651,06/07/2017,MyCity4kids,Consumer Internet,parenting blog and kids\\xe2\\x80\\x99 events discovery platform,Gurgaon,nan,Seed Funding,nan,nan,2017,7,201707,Other,
650,652,07/07/2017,Clip App,Consumer Internet,Digital Media Video platform,Bangalore,"India Quotient, Shunwei Capital",Seed Funding,"1,000,000",nan,2017,7,201707,Other,1000000.0
651,653,07/07/2017,Upwardly.in,Consumer Internet,MF investment platform,Bangalore,"Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures",Seed Funding,nan,nan,2017,7,201707,Other,
652,654,10/07/2017,Autorox.co,Technology,Workshop Management Software Platform,Hyderabad,Mitsui & Co.,Private Equity,"3,000,000",nan,2017,7,201707,Other,3000000.0
653,655,11/07/2017,Fabogo,Consumer Internet,Salon & Spa Aggregation & Discovery platform,Pune,Dunamis Ventures Pte Ltd,Private Equity,"2,250,000",nan,2017,7,201707,Other,2250000.0
654,656,11/07/2017,Flickstree,Consumer Internet,Video Content Discovery Platform,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding,"464,000",nan,2017,7,201707,Other,464000.0
655,657,11/07/2017,Design Cafe,Consumer Internet,Online Interior Design platform,Bangalore,"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital",Seed Funding,nan,nan,2017,7,201707,Other,
656,658,12/07/2017,Innoviti,Technology,Digital payments solutions,Bangalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,"18,500,000",nan,2017,7,201707,Other,18500000.0
657,659,12/07/2017,VDeliver,Logistics,Door Step Delivery platform,Hyderabad,"Corvus Ventures, MAPE Advisory Group",Private Equity,nan,nan,2017,7,201707,Other,
658,660,12/07/2017,Bottr.me,Technology,Chatbot creation tool,Bangalore,"500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta",Seed Funding,nan,nan,2017,7,201707,Other,
659,661,12/07/2017,Arcatron,Technology,Next Gen Mobility device manufacturer,Pune,Indian Angel Network,Seed Funding,nan,nan,2017,7,201707,Other,
660,662,14/07/2017,QwikSpec,Technology,Construction site operations and analytics platform,Bangalore,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding,"540,000",nan,2017,7,201707,Other,540000.0
661,663,14/07/2017,Chumbak,E-Commerce,Designer consumer products Marketplace,Bangalore,Blacksoil Capital Pvt. Ltd,Private Equity,"1,700,000",nan,2017,7,201707,Other,1700000.0
662,664,17/07/2017,Increff,Technology,Sales Solutions for Fashion Brands,Bangalore,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed Funding,"2,000,000",nan,2017,7,201707,Other,2000000.0
663,665,17/07/2017,Vayana,Technology,Enterprise Banking Solutions,Pune,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,"4,000,000",nan,2017,7,201707,Other,4000000.0
664,666,18/07/2017,MObiquest,Technology,Mobile Services & Solutions,Noida,One97 Communication Ltd,Private Equity,nan,nan,2017,7,201707,Other,
665,667,18/07/2017,Ambee,Consumer Internet,Ambulance Aggregation Services,Hyderabad,"Uber Technologies Inc, Amaya Capital LLP",Seed Funding,nan,nan,2017,7,201707,Other,
666,668,18/07/2017,Ideal Insurance,Consumer Internet,Online Insurance platform,Kolkata,Xelpmoc,Seed Funding,nan,nan,2017,7,201707,Other,
667,669,18/07/2017,Hypernova Interactive,Technology,Mobile games creator,Bangalore,Kae Capital,Seed Funding,nan,nan,2017,7,201707,Other,
668,670,19/07/2017,Rentomojo,Consumer Internet,Consumer Leasing Platform,Bangalore,"ain Capital Ventures, Renaud Laplanche",Private Equity,"10,000,000",nan,2017,7,201707,Other,10000000.0
669,671,19/07/2017,AirCTO,Consumer Internet,AI powered recruitment platform,Bangalore,Francesco Cara,Seed Funding,nan,nan,2017,7,201707,Other,
